folder_name	file_fastq	file_bam	RGID	RGLB	RGPL	RGSM	RGDS1	RGDS2	RGPU
78fa3310-1741-4676-ba85-7f713a75d24e	E6.8.800.fastq.gz	E6.8.800.step1.Aligned.sortedByCoord.out.bam	E6.8.800	E6.8.800	illumina	E6.8	Smart-seq2	embryonic-cell-metazoa	Run0247_BC4972ACXX_L2
8558770e-ed53-444e-b2a7-fe1c50e8acd5	E6.15.1447.fastq.gz	E6.15.1447.step1.Aligned.sortedByCoord.out.bam	E6.15.1447	E6.15.1447	illumina	E6.15	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L4
d8344d3f-d708-438c-ac7f-2340eaad76cd	E6.15.1458.fastq.gz	E6.15.1458.step1.Aligned.sortedByCoord.out.bam	E6.15.1458	E6.15.1458	illumina	E6.15	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L4
b4ee3da2-135b-41c1-98d6-5902fae95e68	E4.late.34.3179.fastq.gz	E4.late.34.3179.step1.Aligned.sortedByCoord.out.bam	E4.late.34.3179	E4.late.34.3179	illumina	E4.late.34	Smart-seq2	embryonic-cell-metazoa	Run0288_AC698EACXX_L2
ec0dd9a3-4052-40d6-87d4-4ba8a805d0f5	E4.4.494.fastq.gz	E4.4.494.step1.Aligned.sortedByCoord.out.bam	E4.4.494	E4.4.494	illumina	E4.4	Smart-seq2	embryonic-cell-metazoa	Run0231_AC3NBVACXX_L6
91130b07-0a0d-402a-9da3-d6b7a97c4efd	E5.16.1898.fastq.gz	E5.16.1898.step1.Aligned.sortedByCoord.out.bam	E5.16.1898	E5.16.1898	illumina	E5.16	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L6
d1a26136-bdf7-46a0-a39b-d91182e0cbe5	E6.10.1043.fastq.gz	E6.10.1043.step1.Aligned.sortedByCoord.out.bam	E6.10.1043	E6.10.1043	illumina	E6.10	Smart-seq2	inner-cell-mass-cell	Run0248_AC4D43ACXX_L2
dd756d99-1c54-416e-88cb-6fefabfdd84e	E5.5.94.fastq.gz	E5.5.94.step1.Aligned.sortedByCoord.out.bam	E5.5.94	E5.5.94	illumina	E5.5	Smart-seq2	embryonic-cell-metazoa	Run0208_AC2LDDACXX_L4
953614e0-a299-4e0c-ad1a-683457922b2f	E6.13.1394.fastq.gz	E6.13.1394.step1.Aligned.sortedByCoord.out.bam	E6.13.1394	E6.13.1394	illumina	E6.13	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L3
e7e1f639-d4a9-4b54-a2b6-cd69c55d4a28	E7.14.909.fastq.gz	E7.14.909.step1.Aligned.sortedByCoord.out.bam	E7.14.909	E7.14.909	illumina	E7.14	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L6
2ff1d00b-8199-446f-bf06-49b6ca9a2241	E4.5.510.fastq.gz	E4.5.510.step1.Aligned.sortedByCoord.out.bam	E4.5.510	E4.5.510	illumina	E4.5	Smart-seq2	embryonic-cell-metazoa	Run0231_AC3NBVACXX_L6
6778d955-1510-43c8-b83b-4515adbdbd10	E6.13.1369.fastq.gz	E6.13.1369.step1.Aligned.sortedByCoord.out.bam	E6.13.1369	E6.13.1369	illumina	E6.13	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L2
2e96437c-469a-495b-8212-739a501c5766	E5.7.683.fastq.gz	E5.7.683.step1.Aligned.sortedByCoord.out.bam	E5.7.683	E5.7.683	illumina	E5.7	Smart-seq2	embryonic-cell-metazoa	Run0246_AC48UDACXX_L4
ee6a3ec4-2135-4911-948d-33de1553041a	E6.1.85.fastq.gz	E6.1.85.step1.Aligned.sortedByCoord.out.bam	E6.1.85	E6.1.85	illumina	E6.1	Smart-seq2	embryonic-cell-metazoa	Run0208_AC2LDDACXX_L3
e34aa069-cb69-4a0b-a7aa-02814534c92a	E3.49.3408.fastq.gz	E3.49.3408.step1.Aligned.sortedByCoord.out.bam	E3.49.3408	E3.49.3408	illumina	E3.49	Smart-seq2	embryonic-cell-metazoa	Run0343_AC87WGACXX_L5
3e76207b-7c7a-4195-8c2a-81da049ec983	E7.9.548.fastq.gz	E7.9.548.step1.Aligned.sortedByCoord.out.bam	E7.9.548	E7.9.548	illumina	E7.9	Smart-seq2	embryonic-cell-metazoa	Run0231_AC3NBVACXX_L7
49c61ff5-01ef-4f53-a2a7-33b9ede7ac55	E3.51.3420.fastq.gz	E3.51.3420.step1.Aligned.sortedByCoord.out.bam	E3.51.3420	E3.51.3420	illumina	E3.51	Smart-seq2	embryonic-cell-metazoa	Run0343_AC87WGACXX_L5
